rank,time,date,name,position,DOB,venue,nationality 
180,15:46.85,05 AUG 2006,Man JIN,7,05 DEC 1984,Shijiazhuang (CHN),CHN
181,15:46.87,28 MAY 2006,Samira CHELLAH,3,29 DEC 1979,Marseille (FRA),ALG
182,15:47.16,28 MAY 2006,Miranda BOONSTRA,16,29 AUG 1972,Hengelo (NED),NED
183,15:47.52,22 OCT 2006,Kasumi NISHIHARA,5,01 MAR 1989,Yokohama (JPN),JPN
184,15:47.59,13 APR 2006,Stephanie MADIA,6,30 SEP 1983,Walnut (USA),USA
184,15:47.59,24 SEP 2006,Dorcus INZIKURU,3,02 FEB 1982,Busto Arsizio (ITA),UGA
186,15:47.62,21 OCT 2006,Aya MANOME,5,30 AUG 1982,Kobe (JPN),JPN
187,15:47.89,11 JUN 2006,Valentina LEVUSHKINA,7,30 APR 1982,Tula (RUS),RUS
188,15:47.97,27 MAY 2006,Megumi TANAKA-OSHIMA,9,04 SEP 1975,Nobeoka (JPN),JPN
189,15:48.28,22 OCT 2006,Yuika MORI,6,25 JAN 1988,Yokohama (JPN),JPN
190,15:48.39,22 APR 2006,Yuka IZUMI,2,18 JAN 1985,Kobe (JPN),JPN
191,15:48.62,30 APR 2006,Mandi ZEMBA,7,01 JUL 1983,Palo Alto (USA),USA
192,15:48.89,22 APR 2006,Weiwei SUN,2,13 JAN 1985,Chongqing (CHN),CHN
193,15:49.03,30 APR 2006,Victoria JACKSON,8,20 JAN 1982,Palo Alto (USA),USA
194,15:49.06,04 JUN 2006,Alena SAMOKHVALOVA,6,21 NOV 1980,Firenze (ITA),RUS
195,15:49.21,22 OCT 2006,Ho-Son PARK,7,17 NOV 1986,Yokohama (JPN),KOR
196,15:49.32,09 SEP 2006,Yingying ZHU,3,18 AUG 1988,Guilin (CHN),CHN
197,15:49.38,04 JUN 2006,Adelina DE SOCCIO,7,06 FEB 1986,Firenze (ITA),ITA
198,15:49.45,01 OCT 2006,Yoshika TATSUMI,20,26 FEB 1982,Oita (JPN),JPN
199,15:49.47,27 MAY 2006,Rong CHEN,2,18 MAY 1988,Zhengzhou (CHN),CHN
200,15:49.71,10 JUN 2006,Mekdes BEKELE,3,20 JAN 1987,Avil&#233;s (ESP),ETH
201,15:49.85,22 APR 2006,Nami MATSUDA,3,08 FEB 1987,Kobe (JPN),JPN
202,15:49.90,27 MAY 2006,J. KERUBO,11,,Nobeoka (JPN),KEN
203,15:50.08,23 JUN 2006,Luc&#233;lia DE OLIVEIRA PERES,1,26 AUG 1981,Bel&#233;m (BRA),BRA
204,15:50.15,01 OCT 2006,Miai TAKAHASHI,21,03 JAN 1985,Oita (JPN),JPN
205,15:50.62,01 OCT 2006,Maya NISHIO,22,19 DEC 1978,Oita (JPN),JPN
206,15:50.82,01 OCT 2006,Ikuyo YAMASHITA,23,17 JUN 1985,Oita (JPN),JPN
207,15:50.87,24 MAR 2006,Zakia Mrisho MOHAMED,8,19 FEB 1984,Melbourne (AUS),TAN
208,15:50.92,16 JUL 2006,Liz YELLING,3,05 DEC 1974,Manchester (GBR),GBR
209,15:51.56,13 JUN 2006,Yuki SAITO,9,25 SEP 1980,Abashiri (JPN),JPN
210,15:51.83,11 JUN 2006,Anne KINGORI,1,09 OCT 1987,Yokohama (JPN),KEN
211,15:51.85,21 OCT 2006,Yuka TAKASHIMA,6,12 MAY 1988,Kobe (JPN),JPN
212,15:51.88,03 JUN 2006,Kristen NICOLINI,7,21 SEP 1977,New York (USA),USA
213,15:51.89,11 DEC 2006,Preeja SREEDHARAN,5,13 MAR 1982,Doha (QAT),IND
214,15:51.94,24 MAR 2006,Natalie Anne HARVEY,9,19 JAN 1975,Melbourne (AUS),GBR
215,15:52.01,01 OCT 2006,Yumi HIRATA,24,22 JUN 1981,Oita (JPN),JPN
216,15:52.05,10 JUN 2006,Simret SULTAN,4,20 JUL 1984,Avil&#233;s (ESP),ERI
217,15:52.06,30 APR 2006,Amy CRAGG,9,21 JAN 1984,Palo Alto (USA),USA
218,15:52.13,30 APR 2006,Melissa COOK,10,22 NOV 1979,Palo Alto (USA),USA
219,15:52.37,01 OCT 2006,Eri YAMAGUCHI,25,14 JAN 1973,Oita (JPN),JPN
220,15:52.40,21 JUL 2006,Grażyna SYREK,1,09 JAN 1972,Bydgoszcz (POL),POL
221,15:52.50,29 APR 2006,Akane TAIRA,19,03 NOV 1982,Hiroshima (JPN),JPN
222,15:52.63,28 OCT 2006,Wenqin SUN,4,02 JUN 1981,Changsha (CHN),CHN
223,15:53.15,13 JUN 2006,Rina FUJIOKA,10,18 OCT 1982,Abashiri (JPN),JPN
224,15:53.18,14 MAY 2006,Yoko MIYAUCHI,2,19 JUN 1983,Kita-Kyushu (JPN),JPN
225,15:53.51,31 MAR 2006,Desiraye OSBURN,3,05 AUG 1984,Palo Alto (USA),USA
226,15:53.87,01 OCT 2006,Yukari SO,26,20 APR 1984,Oita (JPN),JPN
227,15:54.34,06 OCT 2006,Kaori KUMASAKA,9,23 JUN 1980,Kobe (JPN),JPN
228,15:54.39,22 OCT 2006,Yoko YAGI,8,14 APR 1980,Yokohama (JPN),JPN
229,15:54.47,27 MAY 2006,Sayuri SENDO,15,26 DEC 1988,Nobeoka (JPN),JPN
230,15:54.56,30 APR 2006,Carrie MESSNER-VICKERS,11,07 JUN 1977,Palo Alto (USA),USA
231,15:54.63,27 MAY 2006,Guiying BAO,3,20 JAN 1986,Zhengzhou (CHN),CHN
232,15:55.05,29 APR 2006,Shiori ISHIYAMA,22,28 JUN 1984,Hiroshima (JPN),JPN
233,15:55.14,13 MAY 2006,Genoveva Jelagat KIGEN,1,09 AUG 1980,Xalapa (MEX),KEN
234,15:55.20,21 JAN 2006,Melissa LECKIE,1,,Adelaide (AUS),AUS
235,15:55.46,19 JUL 2006,Etalemahu KIDANE,23,14 FEB 1983,Naimette-Xhov&#233;mont (BEL),ETH
236,15:55.48,11 JUN 2006,Marina IVANOVA,8,19 JAN 1982,Tula (RUS),RUS
237,15:55.58,03 JUN 2006,Kaoru NISHI,6,28 NOV 1983,Sapporo (JPN),JPN
238,15:55.61,10 JUN 2006,Marie-Laure DUMERGUES,1,21 APR 1982,Saint Jean-de-Luz (FRA),FRA
239,15:56.00,24 JUN 2006,Yesenia CENTENO,3,27 JUN 1971,Barakaldo (ESP),ESP
240,15:56.00,01 JUL 2006,Rose Jerotich KOSGEI,5,22 AUG 1981,Nairobi (KEN),KEN
241,15:56.13,30 APR 2006,Christine BOLF,12,27 MAY 1984,Palo Alto (USA),USA
242,15:56.44,02 JUL 2006,Chiaki IWAMOTO,14,06 MAR 1985,Kobe (JPN),JPN
243,15:56.70,09 SEP 2006,Shiyue WANG,5,14 OCT 1989,Guilin (CHN),CHN
244,15:56.81,22 OCT 2006,Miriam GICHURU,10,21 SEP 1989,Yokohama (JPN),KEN
245,15:56.87,01 OCT 2006,Hiroko MIYAUCHI,28,19 JUN 1983,Oita (JPN),JPN
246,15:56.88,13 OCT 2006,Xiucong CHEN,1,1987,Yantai (CHN),CHN
247,15:57.05,28 MAY 2006,Yamna BELKACEM-OUBOUHOU,17,20 FEB 1974,Hengelo (NED),FRA
248,15:57.30,01 JUL 2006,Edna Ngeringwony KIPLAGAT,6,15 SEP 1979,Nairobi (KEN),KEN
249,15:57.32,01 OCT 2006,Kaori URATA,30,18 SEP 1985,Oita (JPN),JPN
250,15:57.34,22 OCT 2006,Kumi YAGUCHI,11,31 DEC 1984,Yokohama (JPN),JPN
251,15:57.35,10 JUN 2006,Alessandra AGUILAR,3,01 JUL 1978,Barcelona (ESP),ESP
252,15:57.42,29 APR 2006,Kazue KOJIMA,23,14 OCT 1987,Hiroshima (JPN),JPN
253,15:57.47,22 OCT 2006,Nozomi SASAKI,12,13 JUL 1980,Yokohama (JPN),JPN
254,15:57.49,27 MAY 2006,Qian SU,5,04 NOV 1988,Zhengzhou (CHN),CHN
255,15:57.53,11 JUN 2006,Mai ITO,3,23 MAY 1984,Yokohama (JPN),JPN
256,15:57.62,22 OCT 2006,Norie TAKAHASHI,13,22 APR 1980,Yokohama (JPN),JPN
257,15:57.67,28 MAY 2006,Chisato OZAKI,1,19 APR 1987,Yokohama (JPN),JPN
258,15:57.86,13 MAY 2006,Mada&#237; P&#201;REZ,2,02 FEB 1980,Xalapa (MEX),MEX
259,15:58.03,27 MAY 2006,Akane WAKITA,17,15 DEC 1987,Nobeoka (JPN),JPN
260,15:58.07,13 JAN 2006,Jessica RUTHE,1,31 MAY 1979,Wellington (NZL),NZL
261,15:58.26,21 MAY 2006,Nian LIU,3,26 APR 1988,Beijing (CHN),CHN
262,15:58.40,28 MAY 2006,Mieke GEENS,18,10 MAR 1982,Hengelo (NED),BEL
263,15:58.50,20 MAY 2006,Tomoko ISHII,2,14 OCT 1983,Naruto (JPN),JPN
264,15:58.66,27 MAY 2006,Yanmei ZHU,6,16 OCT 1986,Zhengzhou (CHN),CHN
265,15:58.74,22 OCT 2006,Kaori AKAGAWA,14,24 JAN 1982,Yokohama (JPN),JPN
266,15:58.94,30 AUG 2006,Nuo NA,3,1991,Jinzhou (CHN),CHN
267,15:58.96,23 JUN 2006,Clara HOROWITZ-PETERSON,12,26 JAN 1984,Indianapolis (USA),USA
268,15:59.15,31 MAR 2006,Jenna KINGMA,5,01 OCT 1985,Palo Alto (USA),USA
269,15:59.18,29 JUL 2006,Mirja MOSER-JENNI,1,10 APR 1976,Olten (SUI),SUI
270,15:59.22,27 MAY 2006,Mai ENDO,20,22 DEC 1986,Nobeoka (JPN),JPN
271,15:59.26,07 JUN 2006,Karima Saleh JASSEM,6,18 FEB 1988,Beograd (SRB),BRN
272,15:59.32,08 JUN 2006,Michela ZANATTA,4,05 JAN 1978,Celle Ligure (ITA),ITA
273,15:59.60,10 JUN 2006,Yuko SHIMIZU,8,13 JUL 1985,Shibetsu (JPN),JPN
274,15:59.64,07 JUN 2006,Beatrice Chepngeno CHEBUSIT,7,26 JAN 1988,Beograd (SRB),KEN
275,15:59.85,10 JUN 2006,Sakura SATO,9,17 NOV 1984,Shibetsu (JPN),JPN
275,15:59.85,22 OCT 2006,Misako SUGURA,15,06 NOV 1984,Yokohama (JPN),JPN
277,15:59.95,03 SEP 2006,Belaynesh FIKADU,13,28 MAR 1987,Berlin (GER),ETH
278,15:59.97,08 APR 2006,Derbie AYELE,9,21 MAR 1984,Kumamoto (JPN),ETH
279,16:00.11,10 JUN 2006,Misaki ONISHI,10,24 FEB 1985,Shibetsu (JPN),JPN
280,16:00.12,10 JUN 2006,Mar&#237;a ABEL,4,23 OCT 1974,Barcelona (ESP),ESP
281,16:00.15,14 MAY 2006,Yuko NOHARA,4,23 JAN 1988,Kita-Kyushu (JPN),JPN
282,16:00.16,08 JUL 2006,Hanan FARHOUN,17,26 MAY 1974,Paris (FRA),FRA
283,16:00.62,29 APR 2006,Mihoko WATANABE,25,16 JUN 1982,Hiroshima (JPN),JPN
284,16:00.79,24 JUN 2006,Rosemary RYAN,5,08 NOV 1975,Solihull (GBR),IRL
285,16:01.00,04 OCT 2006,Kirsten Melkevik OTTERBU,1,29 MAY 1970,Bergen (NOR),NOR
286,16:01.12,10 JUN 2006,Yoshiko WATANABE,11,30 OCT 1980,Shibetsu (JPN),JPN
287,16:01.21,23 JUN 2006,Fabiana Cristine DA SILVA,2,03 SEP 1978,Bel&#233;m (BRA),BRA
288,16:01.25,27 MAY 2006,Chaofeng JIA,8,16 NOV 1988,Zhengzhou (CHN),CHN
289,16:01.30,26 MAY 2006,Maureen MCCANDLESS,2,24 AUG 1983,Greensboro (USA),USA
290,16:01.34,28 MAY 2006,Vincenza SICARI,3,19 MAR 1979,Valencia (ESP),ITA
291,16:01.40,14 JUN 2006,Salina Jebet KOSGEI,1,16 NOV 1976,Nairobi (KEN),KEN
292,16:01.41,09 SEP 2006,Yanyan DAI,6,08 JAN 1980,Guilin (CHN),CHN
293,16:01.49,21 MAY 2006,Ai SHINOZAKI,13,,Sendai (JPN),JPN
294,16:01.61,10 JUN 2006,Miyuki ANDO,12,25 MAR 1980,Shibetsu (JPN),JPN
295,16:01.88,13 APR 2006,Emily MORTENSEN,8,21 DEC 1982,Walnut (USA),USA
296,16:02.01,26 MAY 2006,Julia LUCAS,3,04 MAR 1984,Greensboro (USA),USA
297,16:02.33,30 APR 2006,Rebecca DONAGHUE,13,24 FEB 1976,Palo Alto (USA),USA
297,16:02.33,11 JUN 2006,Kalliopi ASTROPEKAKI,1,15 DEC 1981,Trikala (GRE),GRE
299,16:02.37,13 JUN 2006,Hee-Yeon KIM,11,10 FEB 1986,Abashiri (JPN),KOR
300,16:02.59,06 OCT 2006,Ayano KATOU,12,1987,Kobe (JPN),JPN
301,16:02.74,13 APR 2006,Bethany BREWSTER,9,18 FEB 1983,Walnut (USA),USA
302,16:02.89,27 MAY 2006,Asuka KATO,26,07 MAR 1980,Nobeoka (JPN),JPN
303,16:02.99,23 APR 2006,Shoko MATSUYAMA,2,1989,Wakayama (JPN),JPN
304,16:03.19,13 APR 2006,Anita LOOPER,10,21 OCT 1975,Walnut (USA),NED
305,16:03.35,23 APR 2006,Kimiko HARA,3,06 FEB 1986,Wakayama (JPN),JPN
306,16:03.40,23 JUN 2006,Ednalva Lauriano DA SILVA,3,10 DEC 1976,Bel&#233;m (BRA),BRA
307,16:03.65,23 JUL 2006,Adriana NELSON,1,31 JAN 1980,Bucuresti (ROU),ROU
308,16:03.72,07 JUN 2006,Salome CHEPCHUMBA,8,29 SEP 1982,Beograd (SRB),KEN
309,16:03.73,21 MAY 2006,Yoko SHIBUI,15,14 MAR 1979,Sendai (JPN),JPN
310,16:03.77,08 JUN 2006,Claudia PINNA,5,04 DEC 1977,Celle Ligure (ITA),ITA
311,16:04.00,27 MAY 2006,Sainan XIE,3,03 NOV 1986,Zhengzhou (CHN),CHN
312,16:04.39,21 MAY 2006,Miaomiao YI,4,15 DEC 1978,Beijing (CHN),CHN
313,16:04.46,24 JUN 2006,Kate RAMSEY,6,17 MAY 1968,Solihull (GBR),GBR
314,16:04.48,27 MAY 2006,Mariko NAKAO,29,24 AUG 1984,Nobeoka (JPN),JPN
315,16:04.60,31 MAR 2006,Alisha WILLIAMS,7,05 FEB 1982,Palo Alto (USA),USA
316,16:04.86,13 JUN 2006,Eri KAMISHINA,13,,Abashiri (JPN),JPN
317,16:04.91,05 AUG 2006,Jinxue CHANG,10,09 MAR 1988,Shijiazhuang (CHN),CHN
318,16:04.99,11 JUN 2006,Yekaterina PRILADNYKH,9,02 MAY 1974,Tula (RUS),RUS
319,16:05.18,14 MAY 2006,Rebekah WALTER,1,27 MAR 1984,East Lansing (USA),USA
320,16:05.45,31 MAR 2006,Alyson KOHLMEIER,8,01 DEC 1986,Palo Alto (USA),CAN
321,16:05.52,07 APR 2006,Cack FERRELL,1,21 JUN 1984,Princeton (USA),USA
322,16:05.67,27 MAY 2006,Yanan WEI,4,06 DEC 1981,Zhengzhou (CHN),CHN
323,16:05.74,13 OCT 2006,Xiaoxiao WANG,2,1987,Yantai (CHN),CHN
324,16:06.15,19 JUL 2006,Vera NOTZ-UMBERG,25,03 JAN 1976,Naimette-Xhov&#233;mont (BEL),SUI
325,16:06.17,23 JUL 2006,Paula TODORAN,2,09 JUN 1985,Bucuresti (ROU),ROU
326,16:06.19,29 AUG 2006,Xin MI,4,24 JUN 1988,Jinzhou (CHN),CHN
327,16:06.38,09 JUN 2006,Erin WEBSTER,3,11 NOV 1985,Sacramento (USA),USA
328,16:06.40,29 APR 2006,Rebeca CHESIRE,1,1992,Kapsabet (KEN),KEN
329,16:06.48,19 JAN 2006,Hayley MCGREGOR,5,27 MAY 1979,Sydney (AUS),AUS
330,16:06.93,10 JUN 2006,Yuko MACHIDA,15,11 AUG 1980,Shibetsu (JPN),JPN
331,16:06.97,21 OCT 2006,Saori NEGISHI,10,,Kobe (JPN),JPN
332,16:07.14,27 MAY 2006,Shijuan WANG,9,09 JUL 1986,Zhengzhou (CHN),CHN
333,16:07.18,02 DEC 2006,Lisa WEIGHTMAN,1,16 JAN 1979,Geelong (AUS),AUS
334,16:07.24,15 AUG 2006,Farida MAKULA,8,11 JUL 1987,Beijing (CHN),TAN
335,16:07.39,31 MAR 2006,Kelly MACDONALD-STRONG,10,27 SEP 1978,Palo Alto (USA),USA
336,16:07.44,26 MAY 2006,Michelle SIKES,6,27 FEB 1985,Greensboro (USA),USA
337,16:07.58,28 OCT 2006,Yuan LIN,8,11 FEB 1988,Changsha (CHN),CHN
338,16:07.71,31 MAR 2006,Amanda TROTTER,11,04 APR 1985,Palo Alto (USA),USA
339,16:08.03,07 JUL 2006,Viktoriya TRUSHENKO,1,19 JUL 1984,Kazan (RUS),RUS
340,16:08.33,28 AUG 2006,Stephanie TWELL,1,17 AUG 1989,St. Peter Port (GBR),GBR
341,16:08.34,29 APR 2006,Eri KOTAKE,28,28 MAY 1981,Hiroshima (JPN),JPN
342,16:08.53,13 OCT 2006,Yazheng QU,2,,Yantai (CHN),CHN
343,16:08.58,21 OCT 2006,Hisako KOGURO,12,31 JUL 1984,Kobe (JPN),JPN
344,16:08.59,13 MAY 2006,Maria Elena VALENCIA JIM&#201;NEZ,4,25 MAY 1983,Xalapa (MEX),MEX
345,16:08.74,21 MAY 2006,Anna INCERTI,1,19 JAN 1980,Rieti (ITA),ITA
346,16:08.75,11 JUN 2006,Noriko HIGUCHI,6,23 MAY 1985,Yokohama (JPN),JPN
347,16:09.10,01 OCT 2006,Katsuko KANNO,34,13 MAY 1980,Oita (JPN),JPN
348,16:09.12,04 JUN 2006,Melissa WHITE,1,15 APR 1982,Windsor (CAN),USA
349,16:09.25,07 JUL 2006,Svetlana STARIKOVA,2,12 APR 1985,Kazan (RUS),RUS
350,16:09.61,12 AUG 2006,Jenny BLIZARD,1,08 FEB 1975,Manchester (GBR),GBR
351,16:09.63,29 JUN 2006,Silvia SOMMAGGIO,1,20 NOV 1969,Ros&#225; (ITA),ITA
352,16:09.65,01 OCT 2006,Shizuka MARUMO,35,11 JAN 1984,Oita (JPN),JPN
353,16:09.86,07 JUN 2006,Keira CARLSTROM,3h2,21 OCT 1984,Sacramento (USA),USA
354,16:10.05,30 APR 2006,Megan O&#39;REILLY,15,07 MAR 1988,Palo Alto (USA),USA
355,16:10.32,26 MAY 2006,Bertha S&#193;NCHEZ,1,04 NOV 1978,Ponce (PUR),COL
356,16:10.49,22 JUL 2006,Mar&#237;a Luisa LARRAGA,4,10 DEC 1970,Zaragoza (ESP),ESP
357,16:10.59,03 SEP 2006,Binnaz USLU,1,12 MAR 1985,Zenica (BIH),TUR
358,16:10.64,01 OCT 2006,Mayumi FUJITA,39,26 MAY 1983,Oita (JPN),JPN
359,16:10.66,04 AUG 2006,Tara QUINN-SMITH,3,19 SEP 1979,Ottawa (CAN),CAN
360,16:11.02,27 APR 2006,Angela HOMAN,1,19 JAN 1984,Philadelphia (USA),USA
361,16:11.07,16 JUL 2006,Emily FIELD,1,27 AUG 1981,Walnut (USA),USA
362,16:11.18,27 MAY 2006,Juri UEDA,33,20 FEB 1986,Nobeoka (JPN),JPN
363,16:11.21,14 MAY 2006,Nicole BUSH,4,04 APR 1986,East Lansing (USA),USA
364,16:11.22,27 MAY 2006,Ai YAMAMOTO,34,06 JUL 1978,Nobeoka (JPN),JPN
365,16:11.26,21 MAY 2006,Lan HORIE,20,,Sendai (JPN),JPN
366,16:11.65,10 JUN 2006,Sayuri BABA,19,21 JAN 1982,Shibetsu (JPN),JPN
367,16:11.77,22 APR 2006,Chengcheng JIANG,10,05 NOV 1986,Chongqing (CHN),CHN
368,16:11.82,27 AUG 2006,Katarzyna KOWALSKA,1,07 APR 1985,Toruń (POL),POL
369,16:11.95,22 OCT 2006,Ayako SUZUKI,16,17 DEC 1980,Yokohama (JPN),JPN
370,16:12.13,04 AUG 2006,Nicole STEVENSON,4,13 SEP 1973,Ottawa (CAN),CAN
371,16:12.14,28 MAY 2006,Selma BORST,19,06 SEP 1983,Hengelo (NED),NED
372,16:12.25,27 MAY 2006,Sachiyo YAMADA,35,30 DEC 1983,Nobeoka (JPN),JPN
373,16:12.51,18 JUN 2006,Daniela FETCERE,4,28 AUG 1990,Praha (CZE),LAT
374,16:12.63,27 APR 2006,Kaitlyn GWYTHER,2,16 MAY 1984,Philadelphia (USA),USA
375,16:12.79,10 JUN 2006,Mihiret TADESSE,6,28 DEC 1987,Avil&#233;s (ESP),ETH
376,16:13.02,02 JUN 2006,Pamela CHEPKOECH,2,1984,Nantes (FRA),KEN
377,16:13.15,03 JUN 2006,Samia AKBAR,1,31 DEC 1981,Nashville (USA),USA
378,16:13.23,29 APR 2006,Eri KOJIMA,31,03 MAR 1983,Hiroshima (JPN),JPN
379,16:13.30,07 JUN 2006,Emily MCCABE,5h1,12 MAY 1983,Sacramento (USA),USA
380,16:13.39,13 APR 2006,Sally KIPYEGO,1,19 DEC 1985,Walnut (USA),KEN
381,16:13.52,26 AUG 2006,Mo CHEN,1,14 MAY 1990,Jinzhou (CHN),CHN
382,16:13.53,14 MAY 2006,Ayumi HAYASHI,7,07 JUN 1982,Kita-Kyushu (JPN),JPN
383,16:13.59,23 APR 2006,Hiroko SHOI,4,18 JUN 1980,Wakayama (JPN),JPN
384,16:13.96,27 MAY 2006,Umi MUNETADA,36,1987,Nobeoka (JPN),JPN
385,16:14.04,13 JUN 2006,Miho ICHIKAWA,14,20 MAY 1973,Abashiri (JPN),JPN
386,16:14.11,11 JUN 2006,Yukari INATOMI,7,16 JAN 1986,Yokohama (JPN),JPN
387,16:14.17,08 JUL 2006,Volha DUBOVSKAYA,2,02 OCT 1985,Brest (BLR),BLR
388,16:14.19,07 JUN 2006,Kathleen TROTTER,7h2,04 APR 1985,Sacramento (USA),USA
389,16:14.21,01 OCT 2006,Nanami FURUMI,42,,Oita (JPN),JPN
390,16:14.29,15 JUL 2006,Ulrike MAISCH,3,21 JAN 1977,Ulm (GER),GER
391,16:14.31,02 AUG 2006,Simret RESTLE-APEL,1,04 MAY 1984,Pfungstadt (GER),GER
392,16:14.36,16 JUL 2006,Laura WHITTLE,4,27 JUN 1985,Manchester (GBR),GBR
393,16:14.48,22 JUL 2006,Teresa RECIO,5,07 JUL 1963,Zaragoza (ESP),ESP
394,16:14.63,02 JUL 2006,Xu QIUZI,1,08 FEB 1991,Beijing (CHN),CHN
395,16:14.73,22 OCT 2006,Manami NISHIO,18,,Yokohama (JPN),JPN
396,16:14.93,30 APR 2006,Ann MCGRANAHAN,16,08 JAN 1979,Palo Alto (USA),USA
397,16:15.07,27 MAY 2006,Yuko SATO,37,17 JAN 1982,Nobeoka (JPN),JPN
398,16:15.12,04 AUG 2006,Aster DEMISSIE,5,1983,Ottawa (CAN),CAN
399,16:15.23,13 APR 2006,Jenny SIMPSON,13,23 AUG 1986,Walnut (USA),USA
400,16:15.27,24 SEP 2006,Helah KIPROP,4,07 APR 1985,Pergine Valsugana (ITA),KEN
401,16:15.31,19 JUL 2006,Missy BUTTRY,26,14 DEC 1982,Naimette-Xhov&#233;mont (BEL),USA
402,16:15.45,13 JAN 2006,Nina RILLSTONE,2,15 APR 1975,Wellington (NZL),NZL
403,16:15.47,14 MAY 2006,Jessica GALL-MYRICK,5,06 AUG 1984,East Lansing (USA),USA
404,16:15.60,13 JUN 2006,Chihiro MOTOMURA,15,01 APR 1986,Abashiri (JPN),JPN
405,16:15.76,22 OCT 2006,Sakiko ISHIBASHI,19,27 FEB 1987,Yokohama (JPN),JPN
406,16:15.80,13 OCT 2006,Linuo SHI,3,1987,Yantai (CHN),CHN
407,16:15.81,16 APR 2006,Miho TAKEMATSU,4,21 NOV 1983,Hamamatsu (JPN),JPN
408,16:16.00,27 MAY 2006,Asami YAMANE,38,08 JUL 1986,Nobeoka (JPN),JPN
409,16:16.05,06 OCT 2006,Eri SATO,14,05 APR 1986,Kobe (JPN),JPN
410,16:16.07,22 APR 2006,Liping QIE,11,12 JAN 1987,Chongqing (CHN),CHN
411,16:16.10,18 JUN 2006,Jolene Elizabeth BYRNE,5,28 OCT 1977,Praha (CZE),IRL
412,16:16.35,22 OCT 2006,Yuka YAMAZAKI,20,14 NOV 1983,Yokohama (JPN),JPN
413,16:16.49,22 OCT 2006,Yasuko KITANO,21,28 JUL 1984,Yokohama (JPN),JPN
414,16:16.51,27 MAY 2006,Rie MATSUI,39,10 JUL 1986,Nobeoka (JPN),JPN
415,16:16.52,26 MAY 2006,Lindsay DONALDSON,7,12 OCT 1985,Greensboro (USA),USA
416,16:16.53,22 JUL 2006,Susanne PUMPER,1,01 SEP 1970,Schwechat (AUT),AUT
417,16:16.54,14 MAY 2006,Mary DAVIES,1,27 AUG 1982,Waco (USA),NZL
418,16:16.65,13 JUN 2006,Asami SAKAMOTO,16,19 DEC 1983,Abashiri (JPN),JPN
419,16:16.72,23 JUL 2006,Ancuţa BOBOCEL,3,03 OCT 1987,Bucuresti (ROU),ROU
420,16:16.73,29 APR 2006,Nami KUROSAWA,35,26 DEC 1978,Hiroshima (JPN),JPN
421,16:16.74,08 APR 2006,Marie IMATA,11,18 JAN 1990,Kumamoto (JPN),JPN
422,16:16.79,22 APR 2006,Kanako EBINA,7,18 MAY 1983,Kobe (JPN),JPN
423,16:16.84,10 JUN 2006,Chiyuki NAKANISHI,21,31 OCT 1983,Shibetsu (JPN),JPN
424,16:16.87,13 JUN 2006,Nami KOSUGI,17,06 FEB 1984,Abashiri (JPN),JPN
425,16:16.90,16 APR 2006,Belainesh Zemedkun GEBRE,3,23 DEC 1987,Addis Abeba (ETH),ETH
426,16:17.12,27 APR 2006,Cassie HUNT,1,06 MAR 1985,Des Moines (USA),USA
427,16:17.16,13 APR 2006,Amanda KOHLMEIER,14,07 MAY 1984,Walnut (USA),CAN
427,16:17.16,27 MAY 2006,Guang ZENG,12,09 MAY 1986,Zhengzhou (CHN),CHN
429,16:17.17,22 APR 2006,Amy MORTIMER,1,16 AUG 1981,Lawrence (USA),USA
430,16:17.58,29 APR 2006,Tomoko SHIMOKAWA,2,21 NOV 1986,Nobeoka (JPN),JPN
431,16:17.66,13 JUN 2006,Hyun-Jin SEO,18,19 FEB 1986,Abashiri (JPN),KOR
432,16:17.69,13 APR 2006,Lisa AGUILERA,15,30 NOV 1979,Walnut (USA),USA
433,16:17.75,21 JUL 2006,Natalya STARKOVA,1,08 NOV 1987,Tula (RUS),RUS
434,16:17.93,13 JUN 2006,Asami OBI,19,22 MAR 1976,Abashiri (JPN),JPN
435,16:17.96,04 FEB 2006,Tiffany LEVETTE-BONASERA,4,08 JAN 1976,Sydney (AUS),AUS
436,16:18.00,21 JAN 2006,Rodica Daniela MOROIANU,1,18 NOV 1970,Roodeport (RSA),FRA
436,16:18.00,29 APR 2006,Ayumi NAKAYAMA,36,10 SEP 1985,Hiroshima (JPN),JPN
438,16:18.01,27 MAY 2006,Yanmei ZHUANG,13,27 DEC 1984,Zhengzhou (CHN),CHN
439,16:18.21,13 APR 2006,Andrea WALKONEN,16,25 SEP 1986,Walnut (USA),USA
440,16:18.28,27 MAY 2006,Aiping FENG,5,29 OCT 1986,Zhengzhou (CHN),CHN
441,16:18.36,31 MAR 2006,Liza PASCIUTO,14,08 AUG 1986,Palo Alto (USA),USA
442,16:18.49,31 MAR 2006,Meghan BISHOP,15,,Palo Alto (USA),USA
443,16:18.64,21 MAY 2006,Kadae KODAMA,21,24 SEP 1984,Sendai (JPN),JPN
444,16:18.66,22 OCT 2006,Chizura IZUTA,23,,Yokohama (JPN),JPN
445,16:18.68,22 OCT 2006,Eriko OGINO,24,08 AUG 1987,Yokohama (JPN),JPN
446,16:18.69,08 APR 2006,Yoko NISHIMI,12,17 JUL 1987,Kumamoto (JPN),JPN
